"시설명","일련번호","시설키","종목시설명","종목시설키","종목명","종목키","위치","면적(㎡)","규격","연면적(㎡)","문의전화","수용인원(정원)","이용대상","이용기간","이용시간","이용료(원)","용도","비고","대관링크주소","이미지파일","선별방법(선착순-1,추첨순-2)","유의사항","이용단위"
"오류남초등학교","445","GR10106PUSM","운동장","GR10106PUSM101","축구","SO","","","","","02-2681-8466~8","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/GR10106PUSM_PG.jpg","","",""
"가곡초등학교","446","GS10107PUSM","체육관","GS10107PUSM101","학교체육","SG","","","","","02-2661-7117","","아가페배드민턴","","월~금 07:30~10:30              토,일 16:00~19:30","월 85만원","","","","http://sports.seoul.go.kr/images/img_ground/GS10107PUSM_GY.jpg","","",""
"가곡초등학교","447","GS10107PUSM","운동장","GS10107PUSM102","축구","SO","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/GS10107PUSM_PG.jpg","","학교운동장개방: 06:00~22:00",""
"가양초/경서중학교","448","GS10108PUSM","체육관","GS10108PUSM101","학교체육","SG","","","","","02-2668-0303","","","","","","","셔틀버스","","","","",""
"가양초/경서중학교","449","GS10108PUSM","수영장","GS10108PUSM102","수영","SW","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/GS10108PUSM_PO.jpg","","교과수업시간 화, 목 13:00~15:00 (3개 레인 활용 중)",""
"가양초/경서중학교","450","GS10108PUSM","헬스장","GS10108PUSM103","헬스","HE","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/GS10108PUSM_HE.jpg","","",""
"치현초등학교","451","GS10109PUSM","체육관","GS10109PUSM101","학교체육","SG","","","","","02-2661-6272","","","","","","","샤워실","","http://sports.seoul.go.kr/images/img_ground/GS10109PUSM_GY.jpg","","",""
"치현초등학교","452","GS10109PUSM","운동장","GS10109PUSM102","축구","SO","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/GS10109PUSM_PG.jpg","","학교운동장 24시간 개방",""
"봉래초등학교","453","JG10110PUSM","수영장","JG10110PUSM101","수영","SW","","","","","02-392-3485","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/JG10110PUSM_PO.jpg","","",""
"봉래초등학교","454","JG10110PUSM","체육관","JG10110PUSM102","학교체육","SG","","","","","","","","","","","","","","http://sports.seoul.go.kr/images/img_ground/JG10110PUSM_GY.jpg","","",""
